Date;Temperature;Weather;Wind direction;Wind speed;Humidity
Dec 17 09:20;0C;overcast;W;9;95%
Dec 17 09:00;0C;cloudy;W;11;86%
Dec 17 08:50;0C;overcast;W;9;85%
Dec 17 08:20;0C;overcast;W;9;85%
Dec 17 07:50;0C;overcast;W;7;85%
Dec 17 07:20;0C;overcast;NW;7;85%
Dec 17 06:50;0C;overcast;W;9;85%
Dec 17 06:20;0C;overcast;W;9;85%
Dec 17 05:50;0C;overcast;W;9;85%
Dec 17 05:20;0C;overcast;W;7;85%
Dec 17 04:50;1C;overcast;W;7;85%
Dec 17 04:20;1C;overcast;W;7;85%
Dec 17 03:50;1C;overcast;W;4;85%
Dec 17 03:20;1C;overcast;W;9;85%
Dec 17 02:50;1C;overcast;W;9;85%
Dec 17 00:50;2C;overcast;W;7;80%
Dec 17 00:20;2C;overcast;SW;6;85%
Dec 16 23:50;3C;overcast;SW;7;75%
Dec 16 23:20;3C;cloudy;S;7;75%
Dec 16 22:50;2C;cloudy;SW;7;85%
Dec 16 22:20;2C;cloudy;SW;6;80%
Dec 16 21:50;3C;cloudy;SW;6;80%
Dec 16 21:20;3C;cloudy;SW;9;75%
Dec 16 20:50;3C;cloudy;S;9;80%
Dec 16 20:20;3C;cloudy;S;9;75%
Dec 16 19:50;3C;cloudy;S;9;80%
Dec 16 19:20;3C;cloudy;S;13;80%
Dec 16 18:50;3C;cloudy;S;11;80%
Dec 16 18:20;3C;cloudy;S;9;80%
Dec 16 17:50;3C;overcast;S;9;75%
Dec 16 17:20;2C;overcast;S;13;80%
Dec 16 16:50;3C;overcast;S;13;75%
Dec 16 16:20;3C;overcast;S;15;80%
Dec 16 15:50;3C;overcast;S;13;80%
Dec 16 15:20;3C;overcast;S;15;75%
Dec 16 14:50;3C;overcast;S;13;80%
Dec 16 14:20;3C;overcast;S;13;80%
Dec 16 13:50;3C;overcast;S;13;80%
Dec 16 13:20;3C;overcast;S;15;80%
Dec 16 12:50;3C;overcast;S;15;80%
Dec 16 12:20;3C;overcast;S;15;80%
Dec 16 11:50;3C;overcast;S;17;75%
Dec 16 11:20;3C;overcast;S;17;75%
Dec 16 10:50;3C;overcast;S;11;80%
Dec 16 10:20;3C;overcast;S;11;75%
Dec 16 09:50;3C;overcast;S;15;80%
Dec 16 09:20;3C;overcast;S;7;80%
Dec 16 08:50;2C;overcast;SW;6;85%
Dec 16 08:20;2C;overcast;SW;7;85%
Dec 16 07:50;2C;overcast;S;7;85%
Dec 16 07:20;2C;overcast;S;13;85%
Dec 16 06:50;2C;cloudy;S;15;85%
Dec 16 06:20;2C;cloudy;S;17;85%
Dec 16 05:50;3C;cloudy;S;20;80%
Dec 16 05:20;3C;cloudy;S;20;80%
Dec 16 04:50;3C;cloudy;S;20;80%
Dec 16 04:20;3C;cloudy;S;24;80%
Dec 16 03:50;3C;cloudy;S;22;80%
Dec 16 03:20;3C;cloudy;S;20;75%
Dec 16 02:50;3C;cloudy;S;20;75%
Dec 16 00:50;3C;cloudy;S;17;75%
Dec 16 00:20;3C;cloudy;S;20;80%
Dec 15 23:50;3C;cloudy;S;19;80%
Dec 15 23:20;3C;cloudy;S;19;80%
Dec 15 22:50;3C;cloudy;S;17;80%
Dec 15 22:20;4C;cloudy;S;19;75%
Dec 15 21:50;4C;cloudy;S;17;75%
Dec 15 21:20;4C;cloudy;S;20;75%
Dec 15 20:50;4C;cloudy;S;19;75%
Dec 15 20:20;4C;cloudy;S;20;75%
Dec 15 19:50;4C;cloudy;S;17;75%
Dec 15 19:20;4C;cloudy;S;17;75%
Dec 15 18:50;4C;cloudy;S;20;75%
Dec 15 18:20;4C;cloudy;S;20;80%
Dec 15 17:50;4C;cloudy;S;20;80%
Dec 15 17:20;4C;cloudy;S;17;80%
Dec 15 16:50;3C;cloudy;S;17;80%
Dec 15 16:00;3C;cloudy;S;13;82%
